# Gymnasium Environment Training Time Budget Reference
# Used by the AutoRL Orchestrator to set appropriate time_budget_min per agent.
#
# Columns:
#   ENV_ID               - Gymnasium registration string
#   ALGOS                - Compatible SB3 algorithms (SAC = continuous action space only)
#   MIN_MIN              - Minimum minutes to see any meaningful learning signal
#   GOOD_MIN             - Minutes to reach a reasonably well-trained policy
#   OBS_TYPE             - vector | pixel | discrete_int
#   ACTION_SPACE         - continuous | discrete
#   NOTES

# ─────────────────────────────────────────────────────────────────────────────
# MuJoCo Continuous Control  (requires: gymnasium[mujoco])
# exec: local   |   All observations are continuous vectors (OBS_TYPE: vector)
# ─────────────────────────────────────────────────────────────────────────────

# ENV_ID                        ALGOS         MIN  GOOD  OBS       ACTION      NOTES
HalfCheetah-v5                  PPO/SAC/A2C   3    5     vector    continuous  Fast learner; SAC typically wins
Hopper-v5                       PPO/SAC/A2C   3    5     vector    continuous  Moderate difficulty
Swimmer-v5                      PPO/SAC/A2C   2    4     vector    continuous  Easy; SAC excels; low reward scale (~360)
Reacher-v5                      PPO/SAC/A2C   2    3     vector    continuous  Simple reaching task; fast convergence
Pusher-v5                       PPO/SAC/A2C   2    3     vector    continuous  Simple pushing; fast convergence
InvertedPendulum-v5             PPO/SAC/A2C   1    2     vector    continuous  Trivially easy; any algo works
InvertedDoublePendulum-v5       PPO/SAC/A2C   2    3     vector    continuous  Harder balance task
Walker2d-v5                     PPO/SAC/A2C   5    8     vector    continuous  Moderate-hard; SAC preferred
Ant-v5                          PPO/SAC/A2C   5    8     vector    continuous  Complex 8-DOF; needs more steps
Humanoid-v5                     PPO/SAC/A2C   8    15    vector    continuous  Very hard; needs long training
HumanoidStandup-v5              PPO/SAC/A2C   8    15    vector    continuous  Very hard; reward is effort-based

# ─────────────────────────────────────────────────────────────────────────────
# Classic Control  (built-in gymnasium, no extra install)
# exec: local
# ─────────────────────────────────────────────────────────────────────────────

# ENV_ID                        ALGOS         MIN  GOOD  OBS       ACTION      NOTES
CartPole-v1                     PPO/A2C       1    2     vector    discrete    Solved fast; PPO hits 500 in <200k steps
Acrobot-v1                      PPO/A2C       2    3     vector    discrete    Sparse reward; PPO works well
MountainCar-v0                  PPO/A2C       3    5     vector    discrete    Sparse; hard exploration problem
MountainCarContinuous-v0        PPO/SAC/A2C   2    4     vector    continuous  SAC solves faster than discrete version
Pendulum-v1                     PPO/SAC/A2C   1    2     vector    continuous  Dense reward; SAC or PPO both fast

# ─────────────────────────────────────────────────────────────────────────────
# Box2D  (requires: pip install gymnasium[box2d])
# exec: local
# ─────────────────────────────────────────────────────────────────────────────

# ENV_ID                        ALGOS         MIN  GOOD  OBS       ACTION      NOTES
LunarLander-v3                  PPO/A2C       3    5     vector    discrete    Moderate; PPO works reliably
LunarLanderContinuous-v3        PPO/SAC/A2C   3    5     vector    continuous  SAC often outperforms PPO here
BipedalWalker-v3                PPO/SAC/A2C   5    10    vector    continuous  Hard; needs longer training budget

# ─────────────────────────────────────────────────────────────────────────────
# Toy Text / Grid World  (built-in gymnasium, no extra install)
# exec: local   |   Observations are a single integer tile index (OBS_TYPE: discrete_int)
# Note: SAC incompatible (discrete actions). MlpPolicy wraps int as 1D array.
# ─────────────────────────────────────────────────────────────────────────────

# ENV_ID                        ALGOS         MIN  GOOD  OBS           ACTION    NOTES
FrozenLake-v1                   PPO/A2C       3    5     discrete_int  discrete  Binary sparse reward (0 or 1); reach goal G
FrozenLake8x8-v1                PPO/A2C       5    8     discrete_int  discrete  Larger grid; harder exploration
Taxi-v3                         PPO/A2C       2    4     discrete_int  discrete  Dense-ish reward; pickup/dropoff task
CliffWalking-v1                 PPO/A2C       2    3     discrete_int  discrete  Grid world with cliff penalty
# Blackjack-v1 is NOT supported — Tuple(Discrete,Discrete,Discrete) obs space is incompatible with SB3

# ─────────────────────────────────────────────────────────────────────────────
# Countdown (custom GRPO arithmetic reasoning task)
# exec: local (MPS) or runpod (CUDA)   |   Fixed budget: 5 min
# ─────────────────────────────────────────────────────────────────────────────

# ENV_ID    ALGOS   MIN  GOOD  NOTES
Countdown   GRPO    5    5     LLM reasoning task; fixed at 5 min regardless of hardware

# ─────────────────────────────────────────────────────────────────────────────
# Render FPS reference (used by model_viewer/render_agent.py)
# ─────────────────────────────────────────────────────────────────────────────
#
# MuJoCo                  → 30 fps  (physics sim at real-time speed)
# Classic Control         → 30 fps  (CartPole, Pendulum, etc.)
# Box2D                   → 30 fps
# FrozenLake / Toy Text   →  4 fps  (grid world; each step should be readable)
# Taxi                    →  4 fps
